symbol,period_end_date,close_price,intrinsic_value,bps,rnoa,MoS,nrShares,reason
EDUC:US,2006-05-31,1.7614,3.202534087985593,1.8110367892976589,0.172292578607946,0.4499980479183821,7774000.0,Penman TTM as-of 2006-05-31: value=3.20 >= close=1.76 * (1+MOS 70%)
CHCI:US,2006-06-30,44.31,90.14874301675977,73.51722532588454,0.13109899149934492,0.508479003509098,2148000.0,Penman TTM as-of 2006-06-30: value=90.15 >= close=44.31 * (1+MOS 70%)
ESP:US,2006-06-30,7.7228,13.345423563777993,14.105647517039921,0.08952259536350522,0.421314732867592,2054000.0,Penman TTM as-of 2006-06-30: value=13.35 >= close=7.72 * (1+MOS 70%)
RCMT:US,2006-06-30,2.3033,4.939098306210561,6.581617402856194,0.07269251209563315,0.5336598186143074,12044000.0,Penman TTM as-of 2006-06-30: value=4.94 >= close=2.30 * (1+MOS 70%)
SPOK:US,2006-06-30,4.58113,24.78546831955923,17.233906046107002,0.17673685354313887,0.8151687133389832,27588000.0,Penman TTM as-of 2006-06-30: value=24.79 >= close=4.58 * (1+MOS 70%)
TATT:US,2006-06-30,6.3801,43.0029206555249,0.0,,0.8516356586310074,6163000.0,Penman TTM as-of 2006-06-30: value=43.00 >= close=6.38 * (1+MOS 70%)
CATO:US,2006-07-31,11.0065,19.40697710979751,8.355647088416552,0.3483222116637994,0.43285860864732884,31804000.0,Penman TTM as-of 2006-07-31: value=19.41 >= close=11.01 * (1+MOS 70%)
EDUC:US,2006-08-31,1.6592,3.280103359173127,1.8688630490956073,0.18197373358348967,0.494162281392784,7740000.0,Penman TTM as-of 2006-08-31: value=3.28 >= close=1.66 * (1+MOS 70%)
CODI:US,2006-09-29,5.86015,21.68006958250497,14.874502982107355,,0.7296987457674523,20120000.0,Penman TTM as-of 2006-09-29: value=21.68 >= close=5.86 * (1+MOS 70%)
CPHC:US,2006-09-29,10.6564,18.14199084668192,5.963386727688787,0.39354127023523894,0.4126113230870138,4370000.0,Penman TTM as-of 2006-09-29: value=18.14 >= close=10.66 * (1+MOS 70%)
ESP:US,2006-09-29,7.8643,15.041990291262136,14.264563106796116,0.11070986725515765,0.4771768996175754,2060000.0,Penman TTM as-of 2006-09-29: value=15.04 >= close=7.86 * (1+MOS 70%)
RCMT:US,2006-09-29,2.3263,5.699677665620493,6.845533972347103,0.0817786350668708,0.5918541123769412,11789000.0,Penman TTM as-of 2006-09-29: value=5.70 >= close=2.33 * (1+MOS 70%)
SPOK:US,2006-09-29,6.3053,15.553762466001814,17.580562103354488,0.08983431584576404,0.5946125566863686,27575000.0,Penman TTM as-of 2006-09-29: value=15.55 >= close=6.31 * (1+MOS 70%)
TATT:US,2006-09-29,9.665,56.13280869706311,0.0,1.2173441209243738,0.8278190558366684,6163000.0,Penman TTM as-of 2006-09-29: value=56.13 >= close=9.66 * (1+MOS 70%)
CATO:US,2006-10-31,10.3594,20.24034415625196,8.403912579287823,0.3921178257567538,0.4881806396162426,31846000.0,Penman TTM as-of 2006-10-31: value=20.24 >= close=10.36 * (1+MOS 70%)
EDUC:US,2006-11-30,1.6849,3.4599096191091028,1.9665590703679794,0.18602454444031238,0.513021961413591,7745000.0,Penman TTM as-of 2006-11-30: value=3.46 >= close=1.68 * (1+MOS 70%)
CODI:US,2006-12-29,6.57027,16.5799511002445,13.830904645476773,,0.603721991682888,20450000.0,Penman TTM as-of 2006-12-29: value=16.58 >= close=6.57 * (1+MOS 70%)
CPHC:US,2006-12-29,11.5171,19.719861542134158,6.412031511100501,0.40556910680516345,0.415964459213258,4189000.0,Penman TTM as-of 2006-12-29: value=19.72 >= close=11.52 * (1+MOS 70%)
CSPI:US,2006-12-29,2.54169,4.752954020035962,2.6013357307988696,0.9315959295110449,0.46523993514652834,7786000.0,Penman TTM as-of 2006-12-29: value=4.75 >= close=2.54 * (1+MOS 70%)
ESP:US,2006-12-29,8.6628,15.758204633204633,14.301158301158301,0.11962428497139885,0.45026732412483533,2072000.0,Penman TTM as-of 2006-12-29: value=15.76 >= close=8.66 * (1+MOS 70%)
MSN:US,2006-12-29,1.3382,3.049046723457609,2.893166648228049,0.10568489005446842,0.5611087263095511,27117000.0,Penman TTM as-of 2006-12-29: value=3.05 >= close=1.34 * (1+MOS 70%)
RCMT:US,2006-12-29,2.7484,5.992526660508859,7.002519103199261,0.08447419034219256,0.5413620738457227,11909000.0,Penman TTM as-of 2006-12-29: value=5.99 >= close=2.75 * (1+MOS 70%)
SENEA:US,2006-12-28,24.55,46.53141772483309,34.865296504778115,0.12116063849363941,0.47239948403940313,7639000.0,Penman TTM as-of 2006-12-28: value=46.53 >= close=24.55 * (1+MOS 70%)
SPOK:US,2006-12-29,6.33538,15.921306849017693,17.221028257172836,0.09331718578792766,0.6020816594970105,27639000.0,Penman TTM as-of 2006-12-29: value=15.92 >= close=6.34 * (1+MOS 70%)
WLDN:US,2006-12-29,10.0,61.57979502196192,6.008967789165447,,0.8376090729689246,5464000.0,Penman TTM as-of 2006-12-29: value=61.58 >= close=10.00 * (1+MOS 70%)
CATO:US,2007-01-31,10.2146,19.845949930982556,8.683429539465429,0.36441291981407237,0.48530556433313116,31876000.0,Penman TTM as-of 2007-01-31: value=19.85 >= close=10.21 * (1+MOS 70%)
EDUC:US,2007-02-28,1.9256,3.4797210023249807,2.0228623094807543,0.18535644013924626,0.446622301410542,7742000.0,Penman TTM as-of 2007-02-28: value=3.48 >= close=1.93 * (1+MOS 70%)
ESP:US,2007-03-30,9.0892,17.092155919153033,14.442733397497594,0.133220696937698,0.46822390089392557,2078000.0,Penman TTM as-of 2007-03-30: value=17.09 >= close=9.09 * (1+MOS 70%)
GSIT:US,2007-03-30,5.25,11.604205425518105,1.286375632760784,,0.5475778127423492,23113000.0,Penman TTM as-of 2007-03-30: value=11.60 >= close=5.25 * (1+MOS 70%)
PRTS:US,2007-03-30,5.37,11.418897044984002,3.497157914549219,,0.5297269098017755,26565000.0,Penman TTM as-of 2007-03-30: value=11.42 >= close=5.37 * (1+MOS 70%)
RCMT:US,2007-03-30,3.2715,6.243361398963731,6.923089378238342,0.08898133809286334,0.4760034233252937,12352000.0,Penman TTM as-of 2007-03-30: value=6.24 >= close=3.27 * (1+MOS 70%)
SPOK:US,2007-03-30,5.83761,18.602926245558052,16.921096526216548,0.10991473984269036,0.6861993686937352,27578000.0,Penman TTM as-of 2007-03-30: value=18.60 >= close=5.84 * (1+MOS 70%)
WLDN:US,2007-03-30,9.39,26.679350867375486,4.559037493005037,,0.6480424112761137,7148000.0,Penman TTM as-of 2007-03-30: value=26.68 >= close=9.39 * (1+MOS 70%)
ASUR:US,2007-04-30,8.0,17.4587786259542,5.202544529262086,,0.5417777972104412,3930000.0,Penman TTM as-of 2007-04-30: value=17.46 >= close=8.00 * (1+MOS 70%)
CATO:US,2007-04-30,9.78014,19.374992162518026,9.15286224841683,0.33825009042185905,0.4952183764533226,31898000.0,Penman TTM as-of 2007-04-30: value=19.37 >= close=9.78 * (1+MOS 70%)
CSPI:US,2007-06-29,2.8059,5.087597680867154,2.7903957650617595,0.41975438596491227,0.44848233370494245,7934000.0,Penman TTM as-of 2007-06-29: value=5.09 >= close=2.81 * (1+MOS 70%)
RCMT:US,2007-06-29,3.5743,6.27269813286321,7.027886849907845,0.08750927791326477,0.4301814108869783,12479000.0,Penman TTM as-of 2007-06-29: value=6.27 >= close=3.57 * (1+MOS 70%)
SPOK:US,2007-06-29,8.45892,17.3190061661226,15.775480594849475,0.10878271978469901,0.5115816739792873,27570000.0,Penman TTM as-of 2007-06-29: value=17.32 >= close=8.46 * (1+MOS 70%)
ASUR:US,2007-07-31,5.6,21.62002551020408,5.770408163265306,,0.7409808791688544,3920000.0,Penman TTM as-of 2007-07-31: value=21.62 >= close=5.60 * (1+MOS 70%)
CATO:US,2007-07-31,9.35831,19.16300093196645,9.57977632805219,0.3069667896678967,0.5116469475097146,32190000.0,Penman TTM as-of 2007-07-31: value=19.16 >= close=9.36 * (1+MOS 70%)
EDUC:US,2007-08-31,1.6341,3.504835589941973,2.0377820760799485,0.18697347297607217,0.5337584437086093,7755000.0,Penman TTM as-of 2007-08-31: value=3.50 >= close=1.63 * (1+MOS 70%)
